segmentid,index,KO,SP
I-00-NS-01-0001,1,"장미, 나는 그 꽃을 참 좋아한다. ","Las rosas, me encantan esas flores. "
I-00-NS-01-0002,2,장미는 남편이 어제 나에게 사줬어요.,Las rosas las me compró mi marido ayer.
I-00-NS-01-0003,3,교수님은 어제 그걸 찾았어요. 그 책을요.,"El profesor los encontró ayer, esos libros. "
I-00-NS-01-0004,4,"마리아, 나는 그녀가 기억이 하나도 안난다. ","María, no me acuerdo de ella. "
I-00-NS-01-0005,5,"엘로이, 걔 어제 내가 대학교에서 봤어요. ",A Eloy lo vimos ayer en la universidad.
I-00-NS-01-0006,6,빠른것은 우사인볼트에요.,Rápido sí que lo es Usain Bolt.
I-00-NS-01-0007,7,똑똑한 사람은 아인슈타인이죠.,Inteligente sí que lo es Einstein.
I-00-NS-01-0008,8,Juana가 그걸 얘기할 수 있었다는 것은 저는 믿을 수 없어요.,Que Juana haya podido decir eso no puedo creerlo.
I-00-NS-01-0009,9,"메시, 그 선수 내가 진짜 좋아해요. ","Messi, ese jugador me encanta. "
I-00-NS-01-0010,10,"김연아, 그녀는 정말 매혹적이에요. ","Yuna Kim, ella sí que me fascina. "
I-00-NS-01-0011,11,"BTS에 관해서, 몇년 째 나는 그를 콘서트에서 못보고 있어요. ","En cuanto a BTS, hace años que no lo veo en concierto. "
I-00-NS-01-0012,12,그 학생은 믿을만 하지 않아요.,En ese estudiante no es posible confiar.
I-00-NS-01-0013,13,내가 궁금한건 외계인이 존재하느냐에요.,De lo que tengo dudas es de la existencia de extraterrestres.
I-00-NS-01-0014,14,내 여자친구가 그렇게 화난걸 난 본적이 없어요.,A mi novia no la vi nunca tan enfadada.
I-00-NS-01-0015,15,"Alicia 말이에요, 그녀는 Juan이랑 얘기하고 싶어하지 않아요. ","En cuanto a Alicia, ella nunca hablará con Juan. "
I-00-NS-01-0016,16,"유하에 관해서요, 그녀는 항상 다른 아이들과 잘지내기 떄문에 어린이집에서 잘 지낼거에요. ","Por lo que afecta a Yuha, ella estará muy bien en la guardería porque siempre se lleva muy bien con otros niños.  "
I-00-NS-01-0017,17,"Juan에 대해 말하자면, 그는 그 시험을 절대 합격하지 못할거에요. ","Hablando de Juan, él nunca aprobará el examen. "
I-00-NS-01-0018,18,모두가 Juan에 관해서는 우리가 절대로 얘기하면 안된다고 생각해요.,Todos piensan que de Juan no deberíamos hablar.
I-00-NS-01-0019,19,나는 María에 대해서는 아무도 불평을 가지지 않는다는 것이 놀랍지 않네요.,No me sorprende que de María nadie se haya quejado.
I-00-NS-01-0020,20,"우리, 아무도 못봤어요. ","Nosotros, nadie nos ha visto. "
I-00-NS-01-0021,21,"Alicia, 나는 그 순간에 떠올렸어요. ","Alicia, estaba pensando en ella en este momento. "
I-00-NS-01-0022,22,우리에게는 아무것도 얘기하지 않았어요.,A nosotros no nos han dicho nada.
I-00-NS-01-0023,23,남자친구는 내가 그 순간에 떠올렸어요.,En mi novio estaba pensando en ese momento.
I-00-NS-01-0024,24,핸드폰 나는 그 끔찍한 기계가 너무 싫어요.,"El móvil, yo odio esas máquinas infernales. "
I-00-NS-01-0025,25,핸드폰은 내가 너무 싫어해요.,El móvil lo odio.
I-00-NS-01-0026,26,엄마에게는 아이들이 각자 편지를 쓸거에요.,A su madre cada chico le escribrá cartas.
