segmentid,index,ref,KO,SP
S-SC-SU-01-0001,1,A,고양이는 물을 싫어해요.,El gato odia el agua.
,,B,,
S-SC-SU-01-0002,2,A,알리시아는 매우 똑똑해요.,Alicia es muy inteligente.
,,B,,
S-SC-SU-01-0003,3,A,강아지들이 해변에서 놀아요.,Los perros juegan en la playa.
,,B,,
S-SC-SU-01-0004,4,A,불행이 일어났다.,Ha ocurrido una desgracia
,,B,한 불행이 일어났다.,Una desgracia ha ocurrido.
S-SC-SU-01-0005,5,A,나는 눈이 더 많이 오는 마을에 살고 싶다.,Quiero vivir en un pueblo donde caiga más nieve.
,,B,나는 더 많은 눈이 떨어지는 마을에 살고 싶다.,Quiero vivir en un pueblo donde más nieve caiga.
S-SC-SU-01-0006,6,A,이 마을에서 차를 판다.,En este barrio se venden coches.
,,B,이 마을에서 차가 팔린다.,Unos coches se venden en este barrio.
S-SC-SU-01-0007,7,A,어제 해가 떴다.,Ayer salió el sol.
,,B,어제 떴다 해가.,Ayer el sol salió.
S-SC-SU-01-0008,8,A,그 차를 우리 아빠가 샀다.,El coche lo ha comprado mi padre.
,,B,우리 아빠가 그 차를 산다.,
S-SC-SU-01-0009,9,A,그녀가 무슨 책을 샀어?,¿Qué libros ha comprado ella?
,,B,,
S-SC-SU-01-0010,10,A,그렇게 하는게 더 나은거 같아. 내 생각엔 그래.,"Es mejor así, creo yo. "
,,B,내 생각엔 그렇게 하는게 더 나은거 같아.,
S-SC-SU-01-0011,11,A,그녀가 도착하면서 파티는 시작되었어요.,"Habiendo llegado ella, empezó la fiesta."
,,B,,"Habiendo llegado ella, la fiesta empezó."
S-SC-SU-01-0012,12,A,나에게 말 좀 해보세요. 이 정책을 시행하는게 맞아요?,"Digame usted, ¿es correcto tomar esta medida?"
,,B,,
S-SC-SU-02-0013,13,A,그에게 미리 시간을 말해주는게 나을거 같아.,Es mejor que le avises con tiempo.
,,A',,Que le avises con tiempo es mejor.
S-SC-SU-02-0014,14,A,네가 아픔을 못느끼는건 아주 좋은 신호야.,Que no te duela es una buena señal.
,,B,,
S-SC-SU-02-0015,15,A,너는 개인적으로 서류들을 제출할 필요가 있어.,Es necesario que entregues los papeles personalmente.
,,B,,Que entregues los papeles personalmente es necesario.
S-SC-SU-02-0016,16,A,나는 먹고 마시는걸 좋아한다.,Me encanta comer y beber.
,,A',먹고 마시는건 내가 좋아하게 한다.,Comer y beber me encanta.
S-SC-SU-02-0017,17,A,그는 내가 누구인지 신경 쓰지 않았다.,No le impotaba quién era yo.
,,A',내가 누구인지는 그에게 신경쓸 것이 아니었다.,Quién era yo no le importaba.
S-SC-SU-02-0018,18,A,마지막에 웃는자가 승자다.,El que ríe al último ríe mejor.
,,B,마지막에 웃는자가 더 웃는다.,Ríe mejor el que ríe el último.
S-SC-SU-02-0019,19,A,,Es impresionante cuánto calor hace estos días.
,,B,,Cuánto calor hace estos días es impresionante.
S-SC-SU-02-0020,20,A,다른나라로 이민 갈 때 중요한 것은 언어를 배우는 것이다.,"Cuando se quiere emigrar a otro país, lo importante es aprender idiomas."
,,A',다른 나라로 이민갈 때 언어를 배우는 것이 중요하다.,"Cuando se quiere emigrar a otrao país, es importante aprender idiomas."
S-SC-SU-02-0021,21,A,마을에 한 낯선 사람이 도착했다.,Ha llegado al pueblo un extraño.
,,A',한 낯선 사람이 마을에 도착했다.,Un extraño ha llegado al pueblo.
S-SC-SU-02-0022,22,A,9시는 술 마시기 좋은 시간이다.,A las nueve es una buna hora para beber.
,,B,술마시기 좋은 시간은 9시이다.,Las nueve es un buena hora para beber.
S-SC-SU-03-0023,23,A,지금이 시작하기 좋은 시간이다.,Ahora es la mejor hora para empezar.
,,A',시작하기 좋은 시간은 지금이다.,La mejor hora para empezar es ahora.
S-SC-SU-03-0024,24,A,커튼 뒤는 숨기 좋은 장소이다.,Detrás de las cortinas es un buen sitio para esconderse.
,,A',커튼 뒤의 장소는 숨기 좋은 장소이다.,Un buen sitio para esconderse es detrás de las cortinas.
S-SC-SU-03-0025,25,A,그 소년은 인터넷에서 파일을 다운 받았다.,El chico descarga los archivos de internet.
,,B,,
S-SC-SU-03-0026,26,A,인터넷의 파일들이 그 소년에 의해 다운받아졌다.,Los archivos del internet los descarga el chico.
,,B,,Los archivos del internet son descargados por el chico.
S-SC-SU-03-0027,27,A,해가 옷을 마르게 했다.,El sol seca la ropa.
,,B,,
S-SC-SU-03-0028,28,A,옷이 말랐다.,La ropa se seca.
,,B,,
S-SC-SU-03-0029,29,A,불이 물을 끓게 했다.,El fuego hirvió el agua.
,,B,,
S-SC-SU-03-0030,30,A,물이 끓었다.,El agua hirvió.
,,B,,
